titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Ingeniero QA (Automatización),Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-qa-automatizacion-arelance/python-pytest/rf-243d1197320283155443,100% remoto,,qa,33.000€ - 36.000€ b/a,2025-07-26
Ing desarrollo interfaces gráficas,Sedecal,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ing-desarrollo-interfaces-graficas-sedecal/vue-java/rf-7903169cd2b3438c324c,Madrid,,Vue,33.000€ - 45.000€ b/a,2025-07-26
Programador Big Data. Teletrabajo,Second Window,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programador-big-data-teletrabajo-second-window/spark-python-sql-ci-cd-powe/rf-054d17b2d2dbe398984d,Madrid,,SPARK,,2025-07-26
QA Pruebas Automaticas en Malaga,Novanotio,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/qa-pruebas-automaticas-en-malaga-novanotio/python-robot-frramework/rf-fe6c1c6d72fae3f2f74c,Málaga,,Python,36.000€ - 42.000€ b/a,2025-07-26
QA/Tester de Pruebas Automaticas,Novanotio,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/qa-tester-pruebas-automaticas-novanotio/python-selenium/rf-13e51961324c83f6c84b,Sevilla,,PYTHON,36.000€ - 42.000€ b/a,2025-07-26
Desarrollador/a de Informes con SAS,Krell Consulting & Training,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-informes-con-sas-krell-consulting-tr/python-oracle/rf-b48b14d952b563028943,Madrid,,Sas,,2025-07-26
Programadores Python con Inglés,Seltime,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/programadores-python-con-ingles-seltime/aws-power-bi/rf-88ea1cca129ba3965542,100% remoto,,Python,30.000€ - 39.000€ b/a,2025-07-26
Consultor / Programador,Michael Page,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/consultor-programador-michael-page/java-python/rf-6ecf1a8ad299f34ebf4c,Barcelona,,Java,30.000€ - 36.000€ b/a,2025-07-26
Senior Data Engineer,Deloitte,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-data-engineer-deloitte/pyspark-sparksql/rf-82361ccb123653fa9b45,Madrid,,PySpark,,2025-07-26
Ingeniero/a de software aeronáutico,GMV,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/ingeniero-software-aeronautico-gmv/c-python-linux/rf-1a1f14ad420df3f82240,Madrid,,C++,,2025-07-26
Technical Solution Architect,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/technical-solution-architect-axiom-software-soluti/java-python/rf-aa1519d152d3b3e8b742,London,,Java,,2025-07-26
Software Engineer,Plexus,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/software-engineer-plexus/python-django/rf-f2a51354b243c380a14c,Madrid,,Python,,2025-07-26
Solution architect,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/solution-architect-axiom-software-solutions/azure-sql-python/rf-fb6e1cc2d2f673c9ce45,Estocolmo,,Azure,,2025-07-26
Data Engineer,Grupo Digital,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-engineer-grupo-digital/azure-ci-cd-python/rf-d61f1c4e3252637e5249,100% remoto,,azure,39.000€ - 45.000€ b/a,2025-07-26
Data Academy Junior Data,Talan,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-academy-junior-data-talan/sql-python/rf-873c1cd2e23f33f6b048,Málaga,,SQL,,2025-07-26
Java Developer,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/java-developer-axiom-software-solutions/sql-python/rf-8bde18a3921463692045,North West,,java,,2025-07-26
