titulo,empresa,enlace,ciudad,modalidad,estado,salario,fecha_scraping
Data Scientist Expert - SCIB Madrid,Santander,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-scientist-expert-scib-madrid-santander/python-genai/rf-1a2718d732b6f37f6b49,Madrid,,Python,,2025-07-26
Senior Google Cloud GenAI,Devoteam,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-google-cloud-genai-devoteam/langchain-vertex/rf-1f6d1ba722b223fde24f,Madrid,,LangChain,,2025-07-26
Profesor en Tecnologías,Universidad San Jorge,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/profesor-en-tecnologias-universidad-san-jorge/python/rf-89701e097233b3496a4a,Zaragoza,,Python,,2025-07-26
Senior Data Analyst Marketing,Wallapop,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-data-analyst-marketing-wallapop/python-sql/rf-98b4109e229fe3018e42,Barcelona,,Python,,2025-07-26
Senior Python Engineer,Accenture,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-python-engineer-accenture/python/rf-027311ca22ac03348c42,Madrid,,Python,,2025-07-26
Senior DevOps Engineer (Data/AI),AstraZeneca,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-devops-engineer-data-ai-astrazeneca/ci-cd-python/rf-ecbf12619200c3401b43,Barcelona,,CI/CD,,2025-07-26
Configuration Specialist,Supply Chain Company SL,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/configuration-specialist-supply-chain-company/javascript-python/rf-8e0910af424693583245,Málaga,,JavaScript,30.000€ - 45.000€ b/a,2025-07-26
Data Scientist - IA,Arelance,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-scientist-ia-arelance/inteligencia-artificial-python/rf-4c8f1bed0252a3ecb84a,100% remoto,,IA,30.000€ - 36.000€ b/a,2025-07-26
Desarrollador Python,Social You,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/desarrollador-python-social-you/fastapi-postgresql/rf-09771b37a25f53474441,100% remoto,,python,36.000€ - 42.000€ b/a,2025-07-26
QA Automatización,Social You,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/qa-automatizacion-social-you/selenium-cucumber/rf-1bdd1193321c5350a04f,Madrid,,selenium,33.000€ - 45.000€ b/a,2025-07-26
Junior Data Engineer,Deloitte,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/junior-data-engineer-deloitte/etl-python/rf-83e01f3ac24f735ea74c,Madrid,,ETL,,2025-07-26
Senior Technical Engineer,Axiom Software Solutions,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/senior-technical-engineer-axiom-software-solutions/windows-python/rf-4275127a527653cad04b,Yorkshire,,Windows,,2025-07-26
Data Engineer - Python y APIs,Sopra Steria,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-engineer-python-apis-sopra-steria/pyspark-sql/rf-bf2c1a5ff289b3e83b4c,Madrid,,Python,,2025-07-26
Data Scientist & SAP S/4HANA,Segula Technologies,https://www.tecnoempleo.comhttps://www.tecnoempleo.com/data-scientist-sap-s-4hana-segula-technologies/python-pytorch/rf-30681f22d2afb3a55b4e,Madrid,,sap,,2025-07-26
